Position,Company_Name,Job_Description,City,Province,Quota,Registered,Acceptance_Percentage,Registration_Start,Registration_End
"Pengelola Keuangan dan Anggaran","LEMBAGA PEMASYARAKATAN KELAS IIB PASURUAN","1. Menyusun rencana kebutuhan anggaran tahunan.
2. Mengelola pencairan dan pembukuan keuangan.
3. Membuat  laporan pertanggungjawaban  anggaran. 
4. Memastikan kepatuhan terhadap aturan keuangan negara.","KOTA PASURUAN","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"CUSTOMER SERVICE","Bpr Anjuk Ladang Perseroda","a.	Membantu Kepala Divisi Operasional dalam melaksanakan seluruh kegiatan pelayanan nasabah di PT. BPR Anjuk Ladang Perseroda
b.	Memasarkan dan mempromosikan produk yang ditawarkan
c.	Melayani pembukaan, pemeliharaan, dan penutupan rekening produk yang tersedia di BPR 
d.	Memberikan informasi / penjelasan produk dan jasa lainnya kepada nasabah sesuai dengan kewenangan dan ketentuan yang berlaku
e.	Melaksanakan pelayanan kepada nasabah sesuai standar pelayanan yang ditentukan BPR dan sesuai dengan penerapan program APU-PPT
f.	Mengelola data base nasabah dan mengadministrasikannya dengan tertib
g.	Melakukan pengamanan, pemeliharaan dan pengelolaan dokumen penting terkait produk dana dengan baik sesuai dengan ketentuan
i.	Menerima dan membantu menyelesaikan keluhan nasabah
j.	Melaksanakan tugas-tugas administrasi customer service
k.	Melaksanakan input data ke dalam komputer dengan benar
l.	Menjaga kerapihan dan kebersihan meja kerja
m.	Memberikan referal atau meneruskan permohonan kredit BPR kepada Account Officer
n.	Menjadi agen pemasaran produk-produk BPR lainnya
o.	Meningkatkan kemampuan dan pengetahuan di bidang Pelayanan Prima, Produk Bank dan Penerapan APU-PPT
p.	Melaksanakan tugas secara jujur, objektif, cermat, dan seksama tanpa pengaruh dari pihak yang berkepentingan dengan nasabah atau pihak lain yang dapat merugikan BPR
q.	Melaksanakan tugas-tugas lain yang diberikan oleh Kepala Divisi Operasional sesuai dengan tugas dan fungsinya.","KAB. NGANJUK","JAWA TIMUR",1,2,50,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Admin IT","Pratama Wisata Lintasnusa","1. Mengupload tour paket di website 
2. Mengupload artikel SEO Friendly secara berkala di website
3. Membantu mengawasi website berjalan dengan baik dan optimal setiap hari
4. Share backlink secara berkala","KAB. BANYUWANGI","JAWA TIMUR",1,2,50,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kemandirian","LEMBAGA PEMASYARAKATAN KELAS IIA BANYUWANGI","1. Melatih warga binaan dalam keterampilan kerja dan kewirausahaan.
2. Menyusun jadwal dan materi pelatihan kerja.
3. Melakukan pendampingan selama praktik kerja.
4. Mengevaluasi kemampuan dan kesiapan kerja.","KAB. BANYUWANGI","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Arsiparis","KANIM KELAS II NON TPI PONOROGO","1. Menyeleksi arsip inaktif yang akan dimusnahkan
2. Membuat daftar arsip inaktif usul musnah
3. Melakukan identifikasi dan pengolahan data arsip inaktif
4. Melakukan identifikasi dan pengolahan data arsip vital
5. Melaksanakan penyerahan arsip statis ke Lembaga Kearsipan","KAB. PONOROGO","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pengelola BMN","LEMBAGA PEMASYARAKATAN KELAS IIB MOJOKERTO","1. Mengelola aset dan inventaris milik negara di 
unit kerja. 
2. Mencatat penerimaan, pemakaian, dan 
penghapusan barang. 
3. Melakukan inventarisasi berkala. 
4. Menyusun laporan aset sesuai ketentuan.","KOTA MOJOKERTO","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pengelola  Keuangan dan  Anggaran","LEMBAGA PEMASYARAKATAN KELAS IIB MOJOKERTO","1. Menyusun rencana kebutuhan anggaran 
tahunan. 
2. Mengelola pencairan dan pembukuan 
keuangan. 
3. Membuat laporan pertanggungjawaban 
anggaran. 
4. Memastikan kepatuhan terhadap aturan 
keuangan negara.","KOTA MOJOKERTO","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Analis Laboratorium","Balai Perikanan Budidaya Air Payau Situbondo","Melakukan pengujian sampel dengan parameter kualitas air, mikrobiologi, biologi molekuler dan residu mulai dari sterilisasi alat, persiapan pengujian, analisa sampel sampai dengan terbit LHU","KAB. SITUBONDO","JAWA TIMUR",1,2,50,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","RUMAH TAHANAN NEGARA KELAS IIB SITUBONDO","1. Menyusun dan melaksanakan program pembinaan karakter warga binaan
2. Melatih keterampilan komunikasi dan pengendalian diri
3. Melakukan evaluasi hasil pembinaan kepribadian
4. Menyusun laporan perkembangan individu","KAB. SITUBONDO","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Analis Laboratorium","Balai Perikanan Budidaya Air Payau Situbondo","Melakukan kegiatan budidaya pakan alami skala laboratorium dan semi massal, mulai dari persiapan wadah, sterilisasi alat serta melakukan pengujian kepadatan plankton.","KAB. SITUBONDO","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pengelola Keuangan dan Anggaran","LEMBAGA PEMASYARAKATAN KELAS IIA BOJONEGORO","1. Menyusun  rencana  kebutuhan  anggaran tahunan;
2. Mengelola  pencairan  dan  pembukuan keuangan;
3. Membuat  laporan  pertanggungjawaban anggaran;
4. Memastikan  kepatuhan  terhadap  aturan keuangan negara.","KAB. BOJONEGORO","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"STREAMVERSE AND AFFILIATE","PT Parama Global Inspira (Dc Surabaya)","Collaborate with Streamverse to strengthen local influencer programs by leading affiliate recruitment and development, managing studios and hosts to meet traffic and sales goals, optimizing content performance, overseeing budgets and evaluations, fostering creator communities, and improving affiliate management systems with operational teams.","KAB. SIDOARJO","JAWA TIMUR",1,2,50,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pengelola Keuangan dan Anggaran","KANIM KELAS I KHUSUS TPI SURABAYA","Menyusun rencana kebutuhan anggaran tahunan.
Mengelola pencairan dan pembukuan keuangan.
Membuat laporan pertanggungjawaban anggaran. 
Memastikan kepatuhan terhadap aturan keuangan negara.","KAB. SIDOARJO","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"YES Apprenticeships - Human Resources Stream","Pabrik Kejayan","Keep up with today's talent trends! Join Nestlé Human Resources team and learn how to drive successful business strategies through people and technology! 
 
Requirements:
Passionate and eager to learn in a multinational FMCG company 
Able to work in an offline/hybrid environment, individually and in a team. 
 
Responsibilities: Directly immerse themselves with our professional team to gain a deeper understanding of the corporate world in the multinational food and beverage company. They will be involved in projects closely aligned with business practices. Opportunity to be exposed for real-work environment, enhance their skill and capabilities to adapt for the future in some areas. The objective is to comprehend concepts and apply knowledge responsibly to assigned projects. 
 
Benefit for YES Apprenticeship 
Monthly pocket allowance which already includes the consideration of additional meal and/or transport allowance 
Certificate of completion by the end of program. 
High performing participants will have the opportunity to be referred in regular hiring (Silver Ticket)","KAB. PASURUAN","JAWA TIMUR",1,2,50,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembantu Pembimbing Kemasyarakatan","BALAI PEMASYARAKATAN KELAS II MADIUN","1. Membantu Pembimbing Kemasyarakatan mendampingi Klien Pemasyarakatan
2. Mengumpulkandata sosial klien dan keluarga
3. Membantu penyusunan laporan hasil pembimbingan
4. Menyampaikan perkembangan perilaku klien kepada atasan","KOTA MADIUN","JAWA TIMUR",36,2,1800,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kemandirian","LEMBAGA PEMASYARAKATAN KELAS IIB TULUNGAGUNG","1. Melatih warga binaan dalam keterampilan kerja dan kewirausahaan.
2. Menyusun jadwal dan materi pelatihan kerja.
3. Melakukan pendampingan selama praktik kerja.
4. Mengevaluasi kemampuan dan kesiapan kerja","KAB. TULUNGAGUNG","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","LEMBAGA PEMASYARAKATAN KELAS IIB TULUNGAGUNG","1. Menyusun dan melaksanakan program pembinaan karakter warga binaan.
2. Melatih keterampilan komunikasi dan pengendalian diri
3. Melakukan evaluasi hasil pembinaan kepribadian.
4. Menyusun laporan perkembangan individu.","KAB. TULUNGAGUNG","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Kehumasan","BPTD Kelas II Jawa Timur","1. Membantu dalam bidang komunikasi publik, public relations, media relations, dan manajemen citra publik, seperti Public Relations (PR), Corporate Communication, dan Media Management;
2. Membantu menyusun press release, menjalin hubungan dengan media, membuat event publik, dan mengelola reputasi lembaga.","KOTA SURABAYA","JAWA TIMUR",1,2,50,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Accounting","PT. Gunung Mas Bersinar","- Mengelola dan menyusun laporan keuangan
- Melakukan pencatatan transaksi
- Melakukan catatan dan file akuntansi
- Menyiapkan dokumen untuk audit dan pajak","KAB. MADIUN","JAWA TIMUR",1,2,50,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"PEMBINAAN KEMANDIRIAN","RUMAH TAHANAN NEGARA KELAS IIB BANGIL","1. Melatih warga binaan dalam keterampilan kerja
dan kewirausahaan.
2. Menyusun jadwal dan materi pelatihan kerja.
3. Melakukan pendampingan selama praktik
kerja.
4. Mengevaluasi kemampuan dan kesiapan kerja","KAB. PASURUAN","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Kehumasan","BPTD Kelas II Jawa Timur","Membantu pembuatan konten visual, desain kampanye kegiatan lembaga, dan storytelling digital, mendesain materi publikasi, infografik, dan media sosial lembaga","KOTA SURABAYA","JAWA TIMUR",1,2,50,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Kehumasan","BPTD Kelas II Jawa Timur","1. Membantu menyusun perencanaan dan strategi komunikasi dalam organisasi. Fokus:strategi kampanye, komunikasi korporat, hingga pemasaran sosial.
2. Membantu humas dalam membuat strategi komunikasi publik yang efektif.","KOTA SURABAYA","JAWA TIMUR",1,2,50,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pengelola BMN","LEMBAGA PEMASYARAKATAN KELAS IIB TULUNGAGUNG","1. Mengelola aset dan inventaris milik negara di unit kerja.
2. Mencatat penerimaan, pemakaian, dan penghapusan barang.
3. Melakukan inventarisasi berkala.
4. Menyusun laporan aset sesuai ketentuan.","KAB. TULUNGAGUNG","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","LEMBAGA PEMASYARAKATAN KELAS IIB TULUNGAGUNG","1. Menyusun dan melaksanakan program pembinaan karakter warga binaan.
2. Melatih keterampilan komunikasi dan pengendalian diri
3. Melakukan evaluasi hasil pembinaan kepribadian.
4. Menyusun laporan perkembangan individu.","KAB. TULUNGAGUNG","JAWA TIMUR",1,2,50,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Digital Marketing","Lembaga Pelatihan Kerja Teguh Agensi Sukses","TUGAS UTAMA:
Mengelola semua akun media sosial lembaga (TikTok, Instagram, Facebook, YouTube).
Menjalankan kampanye iklan digital (FB Ads, TikTok Ads, Google Ads).
Membuat strategi promosi bulanan dan laporan hasilnya.
Meningkatkan interaksi dan jumlah followers.

KUALIFIKASI:
Paham algoritma media sosial.
Mampu membuat strategi promosi digital.
Disiplin, kreatif, dan mampu bekerja dalam tim.","KAB. PONOROGO","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pengelola BMN","LEMBAGA PEMASYARAKATAN KELAS IIB TUBAN","1. Mengelola aset dan inventaris milik negara di
unit kerja.
2. Mencatat penerimaan, pemakaian, dan
penghapusan barang.
3. Melakukan inventarisasi berkala.
4. Menyusun laporan aset sesuai ketentuan.","KAB. TUBAN","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pengelola BMN","KANIM KELAS I TPI MALANG","1. Mengelola aset dan inventaris milik negara di unit kerja;
2. Mencatat penerimaan, pemakaian, dan penghapusan barang;
3. Melakukan inventarisasi berkala;
4. Menyusun laporan aset sesuai ketentuan.","KOTA MALANG","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pengelola  Keuangan dan  Anggaran","KANIM KELAS II NON TPI BLITAR","1.  Menyusun rencana kebutuhan anggaran tahunan. 
2. Mengelola pencairan dan pembukuan keuangan. 
3. Membuat laporan pertanggungjawaban anggaran. 
4. Memastikan kepatuhan terhadap aturan keuangan 
negara.","KAB. BLITAR","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Penerjemah","KANIM KELAS II NON TPI BLITAR","1. Menerjemahkan dokumen, surat, atau naskah resmi dari dan ke dalam bahasa asing sesuai kebutuhan. 
2. Menyediakan layanan interpretasi lisan dalam kegiatan resmi kementerian. 
3. Melakukan penyuntingan hasil terjemahan agar sesuai dengan konteks hukum dan kebijakan IMIPAS. 
4. Mengarsipkan dokumen hasil terjemahan secara tertib dan aman. 
5. Menyusun laporan kegiatan penerjemahan sebagai bahan dokumentasi dan evaluasi.","KAB. BLITAR","JAWA TIMUR",3,2,150,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"IT","Anugerah Kubah Indonesia","Menulis kode PHP untuk membuat halaman web dinamis, mengelola proses di server, dan membuat aplikasi web.
Mendesain, membuat, dan mengelola skema database, serta mengintegrasikan berbagai sumber data ke dalam satu sistem.","KAB. KEDIRI","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pengelola  Kesisteman","KANIM KELAS II NON TPI BLITAR","1. Menyusun dan mengelola prosedur kerja serta 
alur sistem administrasi. 
2. Memantau pelaksanaan sistem agar efisien dan 
sesuai aturan. 
3. Mengusulkan perbaikan sistem kerja. 
4. Membuat laporan evaluasi efektivitas sistem.","KAB. BLITAR","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Asisten Apoteker","Rsd Balung Kabupaten Jember","Asisten Apoteker bertugas pelayanan pasien (melayani resep, memberikan informasi obat), tugas administrasi (mengelola stok, kasir, membuat laporan), dan penyiapan obat (meracik, mengemas, memberi label) di bawah pengawasan apoteker. Pekerjaan ini juga melibatkan interaksi langsung dengan pelanggan dan penanganan dokumen terkait farmasi.","KAB. JEMBER","JAWA TIMUR",6,2,300,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Sosiolog","RUDENIM SURABAYA","1. Melakukan kajian sosial terhadap dinamika warga binaan dan lingkungan kerja;
2. Menyusun analisis sosial sebagai bahan kebijakan pembinaan;
3. Mengidentifikasi faktor sosial yang mempengaruhi perilaku narapidana;
4. Memberikan masukan strategi pembinaan sosial.","KAB. PASURUAN","JAWA TIMUR",4,2,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Psikolog","LEMBAGA PEMASYARAKATAN KELAS IIA SIDOARJO","1. Penilaian Psikologis Warga Binaan
2. Konseling dan Terapi Psikologis
3. Mendiagnosis Gangguan Mental
4. Penanganan Krisis dan Situasi Darurat
5. Pemulihan Pasca-Trauma
6. Evaluasi dan Rehabilitasi Sosial","KAB. SIDOARJO","JAWA TIMUR",4,2,200,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pengelola  BMN","RUDENIM SURABAYA","1. Mengelola aset dan inventaris milik negara di unit kerja;
2. Mencatat penerimaan, pemakaian, dan penghapusan barang;
3. Melakukan inventarisasi berkala;
4. Menyusun laporan aset sesuai ketentuan.","KAB. PASURUAN","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Asisten Sales","Pratama Wisata Lintasnusa","1. Pelayanan Chat melalui kanal sosial media / whatsapp / facebook meta suite
2. Asisten Offering
3. Sales representatif
4. Asisten persiapan event/pameran/MICE
5. Pelayanan interaksi melalui kanal DM sosmed/facebook Meta","KAB. BANYUWANGI","JAWA TIMUR",1,2,50,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina Kepribadian","LEMBAGA PEMBINAAN KHUSUS ANAK KELAS I BLITAR","1. Menyusun dan melaksanakan program
pembinaan karakter warga binaan.
2. Melatih keterampilan komunikasi dan
pengendalian diri
3. Melakukan evaluasi hasil pembinaan
kepribadian.
4. Menyusun laporan perkembangan individu","KAB. BLITAR","JAWA TIMUR",1,2,50,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"BMN","LEMBAGA PEMASYARAKATAN KELAS IIA SIDOARJO","1. Pencatatan dan Inventarisasi BMN
2. Pemeliharaan dan Perawatan BMN
3. Penggunaan BMN
4. Penghapusan atau Mutasi BMN
5. Pengamanan BMN
6. Pelaporan dan Pertanggungjawaban BMN","KAB. SIDOARJO","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Kepegawaian","LEMBAGA PEMASYARAKATAN KELAS IIA SIDOARJO","1. Administrasi Kepegawaian
2.Pengembangan dan Pelatihan Pegawai
3.Penempatan dan Rotasi Pegawai
4.Pengelolaan Kesejahteraan Pegawai
5.Pengelolaan Disiplin Pegawai","KAB. SIDOARJO","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Staf IMSS - Bagian SMK3","Perusahaan Perseroan (Persero) PT Industri Kereta Api","Membantu pelaksanaan kegiatan administrasi, pemantauan, dan evaluasi keselamatan dan kesehatan kerja di lingkungan perusahaan, termasuk pendataan APD, sosialisasi K3, serta penyusunan laporan hasil inspeksi lapangan di bawah arahan staf K3.","KOTA MADIUN","JAWA TIMUR",1,2,50,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Internship Digital Marketing","Reja Aton Energi","1. Web Article Creation On-Page SEO Optimization : Menulis, mengedit, dan mempublikasikan artikel web/blog yang informatif dan berkualitas tinggi sesuai dengan Judul yang telah dipersiapkan oleh tim Marketing perusahaan.
2. Web Content Promotion : Mendistribusikan artikel yang baru terbit ke berbagai saluran (email, media sosial) untuk memperluas jangkauan, sebagaimana briefing dari tim Marketing perusahaan.
3. Assisting Social Media Content Production : Merencanakan dan mengembangkan ide-ide konten kreatif untuk saluran media sosial utama (Instagram, TikTok, LinkedIn, dll.) sesuai brand guidelines.","KAB. SIDOARJO","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"arsiparis","LEMBAGA PEMBINAAN KHUSUS ANAK KELAS I BLITAR","1. Menyeleksi arsip inaktif yang akan dimusnahkan
2. Membuat daftar arsip inaktif usul musnah
3. Melakukan identifikasi dan pengolahan data arsip
inaktif
4. Melakukan identifikasi dan pengolahan data arsip
vita
5. Melaksanakan penyerahan arsip statis ke
Lembaga Kearsipan","KAB. BLITAR","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pengelola Keuangan dan Anggaran","LEMBAGA PEMBINAAN KHUSUS ANAK KELAS I BLITAR","1. Menyusun rencana kebutuhan anggaran
tahunan.
2. Mengelola pencairan dan pembukuan
keuangan.
3. Membuat laporan pertanggungjawaban
anggaran.
4. Memastikan kepatuhan terhadap aturan
keuangan negara","KAB. BLITAR","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Staf Marketing","PT. Surveyor Indonesia Cabang Surabaya","1.	Menganalisa kebutuhan dan perilaku pelanggan serta kekuatan kompetitor dengan metode yang sesuai (melaksanakan Focus Group Discussion/FGD, Sales Call, mengumpulkan informasi dari berbagai sumber), menyampaikan hasil analisa tersebut kepada atasan untuk direview guna memudahkan proses penyusunan konsep produk baru 
2.	Melaksanakan riset pasar sesuai kebutuhan beradasarkan arahan dari atasan guna memastikan target segmen pasar yang ditetapkan sesuai dengan kompetensi perusahaan dan produk yang dihasilkan akan dapat diserap oleh pelanggan
3.	Melaksanakan aktivitas promosi berdasarkan rencana yang telah ditetapkan kepada calon pelanggan guna meningkatkan peluang penjualan menjadi order
4.	Mengidentifikasi calon pelanggan dengan mempelajari karakteristik pelanggan yang membutuhkan jasa perusahaan guna memperoleh daftar calon pelanggan sehingga penjualan menjadi lebih terarah dan tepat sasaran","KOTA SURABAYA","JAWA TIMUR",1,2,50,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pengelola Kesisteman","KANIM KELAS I TPI TANJUNG PERAK","1. Menyusun dan mengelola prosedur kerja serta alur sistem administrasi.
2. Memantau pelaksanaan sistem agar efisien dan sesuai aturan.
3. Mengusulkan perbaikan sistem kerja.
4. Membuat laporan evaluasi efektivitas sistem.","KOTA SURABAYA","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Manajemen Risiko","Terminal Teluk Lamong","1. Dapat mendukung dalam Administratif dan Operasional;
2. Mendukung dalam Perencanaan dan Pelaksanaan Pekerjaan pada unit terkait;
3. Memiliki kemampuan olah data yang baik;
4. Mampu mengoperasikan MS excel dengan berbagai formula;
5. Memiliki kemampuan membuat materi presentasi menggunakan MS PowerPoint dengan baik;
6. Memiliki minat belajar yang tinggi dan siap menerima berbagai challenge;
7. Proaktif, adaptive & resilience;
8. Memiliki kemampuan komunikasi dan interpersonal yang baik;
9. Memiliki laptop sendiri;"," KOTA SURABAYA","JAWA TIMUR",1,2,50,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pembina  Kepribadian","RUMAH TAHANAN NEGARA KELAS I SURABAYA","1. Menyusun dan melaksanakan program 
pembinaan karakter warga binaan. 
2. Melatih keterampilan komunikasi dan 
pengendalian diri 
3. Melakukan evaluasi hasil pembinaan 
kepribadian. 
4. Menyusun laporan perkembangan individu.","KAB. SIDOARJO","JAWA TIMUR",1,2,50,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pengelola Keuangan dan Anggaran","KANIM KELAS I TPI TANJUNG PERAK","1. Menyusun rencana kebutuhan anggaran tahunan.
2. Mengelola pencairan dan pembukuan keuangan.
3. Membuat laporan pertanggungjawaban anggaran.
4. Memastikan kepatuhan terhadap aturan keuangan negara.","KOTA SURABAYA","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pengelola layanan operasional","BNNK Lumajang","Melaksanakan tugas dalam analisa hukum terkait dalam permasalahan  pencegahan dan pemberantasan penyalahgunaan dan peredaran gelap Narkotika (P4GN) di BNNK Lumajang","KAB. LUMAJANG","JAWA TIMUR",1,2,50,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Pengelola BMN","LEMBAGA PEMASYARAKATAN KELAS IIB BONDOWOSO","1. Mengelola aset dan inventaris milik negara di unit kerja.
2. Mencatat penerimaan, pemakaian, dan penghapusan barang.
3. Melakukan inventarisasi berkala.
4. Menyusun laporan aset sesuai ketentuan.","KAB. BONDOWOSO","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Content Creator","Lembaga Manajemen Infaq Ukhuwah Islamiyah","Peserta magang di posisi Content Creator bertanggung jawab merancang, membuat, dan mengelola berbagai konten kreatif yang inspiratif dan edukatif, seperti tulisan, foto, video, dan grafis, yang bertujuan untuk meningkatkan kesadaran dan partisipasi masyarakat dalam pemberdayaan dana zakat, infak, sedekah, dan wakaf; memastikan konten yang dihasilkan sesuai dengan nilai-nilai syariah serta misi lembaga; berkolaborasi dengan tim marketing dan komunikasi untuk menyebarkan pesan dakwah melalui berbagai platform digital; serta melakukan evaluasi dan optimalisasi konten berdasarkan respons audiens untuk mendukung efektivitas konten media sosial.","KOTA SURABAYA","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Copywriter","Lembaga Manajemen Infaq Ukhuwah Islamiyah","Peserta magang di posisi Copywriter bertanggung jawab merancang dan menulis berbagai materi komunikasi yang persuasif, informatif, dan inspiratif, seperti caption media sosial, artikel, script video, dan materi campaign yang bertujuan mengedukasi dan mengajak masyarakat untuk berzakat, berinfak, bersedekah, maupun berwakaf; memastikan setiap tulisan sesuai dengan nilai-nilai Islam dan gaya komunikasi lembaga, dan strategi dakwah digital; serta berkolaborasi dengan tim desain, media, dan program untuk menghasilkan konten yang efektif dalam membangun citra positif dan meningkatkan keterlibatan publik terhadap program-program lembaga.","KOTA SURABAYA","JAWA TIMUR",1,2,50,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Admin Keuangan dan Penganggaran","BALAI PEMASYARAKATAN KELAS II PAMEKASAN","Membantu pencatatan transaksi, mengelola dokumen keuangan seperti faktur dan kwitansi, membantu penyusunan laporan keuangan, serta mendukung proses verifikasi dan pengarsipan dokumen.","KAB. PAMEKASAN","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Senior Programmer","PT. Benih Citra Asia","1.	Melaksanakan pengujian aplikasi bersama divisi terkait sebelum implementasi
2.	Mengimplementasikan Program Aplikasi atau Sistem Informasi Management agar dapat digunakan sesuai dengan kebutuhan. ( Monitoring, Inject Data, Maintenace, Pelatihan, Sosialisasi )
3.	Memaintenance dan atau Repair perangkat keras pranata komputer dan jaringan komputer di lingkungan perusahaan.
4.	Pembaharuan fitur - fitur aplikasi untuk mempermudah, mempercepat dan mengoptimalkan penggunaan sistem informasi
5.	Mengembangkan aplikasi atau sistem informasi sesuai dengan spesifikasi dan kebutuhan pengguna. (Menganalisa dan Menulis Kode Program )","KAB. JEMBER","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Staf Perencanaan Korporat dan Manajemen Kinerja","Brawijaya Multi Usaha","Menyusun rencana strategis, rencana kerja tahunan, dan indikator kinerja perusahaan. Melakukan pemantauan dan evaluasi pencapaian target kinerja perusahaan. Menganalisis efektivitas strategi dan memberikan rekomendasi perbaikan. Menyusun laporan kinerja korporat secara periodik. Berkoordinasi dengan unit lain untuk sinkronisasi target dan capaian kinerja.","KOTA MALANG","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Human Capital Strategic","Brawijaya Multi Usaha","Merancang strategi pengelolaan SDM sesuai arah bisnis perusahaan. Mengembangkan sistem manajemen talenta, suksesi, dan perencanaan tenaga kerja. Menyusun kebijakan dan prosedur strategis terkait SDM. Melakukan analisis kebutuhan kompetensi dan kapabilitas organisasi. Mengawasi pelaksanaan program pengembangan SDM agar selaras dengan strategi perusahaan.","KOTA MALANG","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Seed Analyst","PT. Benih Citra Asia","1.	Melakukan pengujian analisis kemurnian fisik, uji daya berkecambah, uji kadar air, uji bobot 1000 butir, dan pengujian lainnya sesuai standar pemerintah dan atau ISTA.
2.	Melakukan pelaporan pengujian mutu benih.
3.	Menganalisa permasalahan saat pengujian benih.
4.	Mendeteksi semua potensi ketidaksesuaian pada proses dan melaporkan terhadap atasan
5.	Membantu atasan terkait estimasi ketersediaan media uji, pengaturan tim dan pelaporan harian.","KAB. JEMBER","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
"Administrasi","PT. Benih Citra Asia","1. Input data dan update database.
2. Mengarsipkan dan mengelola dokumen.
3. Membuat laporan sederhana (harian/mingguan).
4. Menangani surat-menyurat dan email kantor.
5. Membantu koordinasi jadwal dan kegiatan operasional.
6. Mengurus kebutuhan administrasi umum (ATK, formulir, dll).","KAB. JEMBER","JAWA TIMUR",2,2,100,"2025-11-06 00:00:00","2025-11-14 23:59:59"
